Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Weekly Study Hours,Performance Index
5,73.0,No,6.0,0.0,35.1,56
3,77.0,No,7.0,3.0,21.0,57
3,67.0,Yes,4.0,6.0,21.3,46
9,79.0,No,9.0,,63.2,77
5,,No,8.0,8.0,35.1,47
4,57.0,No,5.0,4.0,27.7,36
6,68.0,Yes,9.0,5.0,42.2,59
5,83.0,No,5.0,7.0,35.8,67
1,50.0,Yes,,2.0,7.5,24
9,56.0,No,6.0,6.0,63.6,52
9,96.0,No,7.0,1.0,62.8,90
4,63.0,Yes,7.0,6.0,27.6,48
9,97.0,Yes,6.0,2.0,62.9,93
9,56.0,No,7.0,9.0,63.0,57
9,57.0,Yes,8.0,3.0,63.4,51
3,79.0,No,9.0,5.0,20.3,63
8,48.0,No,9.0,0.0,56.6,37
3,86.0,Yes,4.0,0.0,20.9,67
5,99.0,Yes,9.0,3.0,34.8,88
5,97.0,No,9.0,4.0,34.6,81
5,47.0,No,8.0,8.0,34.3,35
1,42.0,Yes,,5.0,7.3,15
7,91.0,No,8.0,7.0,49.0,79
1,43.0,No,7.0,7.0,6.5,20
8,48.0,No,,,55.5,39
2,48.0,Yes,8.0,,13.9,26
8,97.0,Yes,,5.0,56.7,92
4,73.0,No,4.0,6.0,27.9,54
7,57.0,Yes,7.0,7.0,48.4,49
4,50.0,No,5.0,6.0,27.9,33
7,46.0,No,6.0,4.0,48.9,37
5,42.0,Yes,6.0,0.0,33.9,26
6,81.0,Yes,4.0,5.0,42.0,71
5,60.0,Yes,4.0,2.0,34.9,44
7,40.0,No,8.0,8.0,49.3,31
9,41.0,Yes,4.0,9.0,63.7,35
4,47.0,Yes,7.0,5.0,28.5,31
2,70.0,No,7.0,0.0,13.9,48
6,55.0,No,8.0,6.0,41.6,43
4,,No,8.0,0.0,29.0,45
2,50.0,Yes,7.0,9.0,14.0,29
5,55.0,Yes,4.0,9.0,35.0,37
5,61.0,Yes,7.0,3.0,35.0,48
2,44.0,No,6.0,1.0,14.1,18
1,98.0,No,6.0,7.0,6.9,74
7,92.0,Yes,8.0,4.0,48.8,85
1,62.0,No,8.0,1.0,6.8,36
7,49.0,No,4.0,,49.0,36
7,95.0,No,7.0,2.0,48.8,86
7,73.0,Yes,,2.0,48.7,64
3,43.0,No,4.0,9.0,21.0,24
6,55.0,Yes,9.0,1.0,41.9,44
2,63.0,No,4.0,3.0,14.6,39
7,64.0,Yes,8.0,6.0,47.9,56
6,88.0,No,7.0,5.0,42.4,76
7,57.0,No,8.0,2.0,49.5,46
1,49.0,Yes,4.0,5.0,6.2,22
1,80.0,Yes,7.0,4.0,6.9,55
1,57.0,Yes,9.0,8.0,6.9,37
7,58.0,Yes,7.0,9.0,48.4,46
2,57.0,No,5.0,5.0,13.7,35
1,87.0,Yes,4.0,4.0,6.6,63
1,63.0,No,6.0,0.0,7.7,36
8,59.0,Yes,6.0,4.0,56.4,55
2,95.0,No,6.0,8.0,14.5,70
6,95.0,Yes,7.0,,42.3,83
5,76.0,Yes,9.0,1.0,34.5,64
6,54.0,Yes,9.0,5.0,41.8,42
7,78.0,No,,,49.2,69
2,90.0,Yes,5.0,0.0,13.5,68
2,40.0,No,7.0,9.0,14.3,18
8,60.0,Yes,7.0,1.0,55.9,56
5,84.0,No,6.0,9.0,34.9,69
4,50.0,Yes,8.0,5.0,28.3,34
9,51.0,No,7.0,1.0,63.2,44
1,53.0,Yes,9.0,6.0,6.9,30
7,45.0,No,8.0,8.0,49.5,36
7,65.0,Yes,6.0,3.0,48.6,55
8,92.0,Yes,7.0,8.0,56.2,90
1,61.0,No,6.0,5.0,7.2,34
3,48.0,Yes,7.0,0.0,20.9,28
5,48.0,No,8.0,8.0,35.1,31
2,54.0,Yes,8.0,9.0,13.5,34
7,66.0,No,8.0,1.0,49.4,59
5,96.0,Yes,4.0,6.0,34.9,82
2,,Yes,8.0,0.0,13.8,61
9,45.0,No,7.0,9.0,63.4,46
9,66.0,Yes,5.0,3.0,62.7,62
3,95.0,No,9.0,0.0,20.4,76
22,42.0,No,5.0,9.0,153.4,20
9,55.0,No,8.0,8.0,63.2,50
7,44.0,Yes,5.0,7.0,48.5,35
5,72.0,Yes,6.0,5.0,35.7,55
4,83.0,No,,5.0,27.2,66
1,85.0,No,5.0,6.0,7.7,57
1,90.0,Yes,9.0,3.0,7.1,67
9,49.0,No,8.0,7.0,63.0,47
3,91.0,Yes,8.0,5.0,20.8,71
5,40.0,Yes,4.0,5.0,35.2,25
3,78.0,No,5.0,6.0,21.0,59
7,85.0,No,9.0,8.0,49.4,78
7,84.0,Yes,4.0,8.0,49.0,76
3,83.0,Yes,4.0,,21.1,64
7,45.0,Yes,6.0,6.0,48.9,38
6,66.0,Yes,6.0,3.0,42.0,53
7,90.0,Yes,4.0,9.0,49.1,83
8,40.0,No,7.0,7.0,55.3,36
4,87.0,Yes,5.0,9.0,27.5,75
2,89.0,No,4.0,7.0,14.3,67
1,58.0,No,6.0,8.0,7.1,34
5,47.0,No,4.0,9.0,34.9,30
8,94.0,No,8.0,6.0,56.0,92
7,64.0,Yes,7.0,0.0,49.1,54
9,93.0,Yes,9.0,6.0,62.8,97
9,58.0,Yes,7.0,7.0,62.7,55
6,87.0,Yes,5.0,7.0,42.1,72
3,89.0,Yes,7.0,8.0,20.6,74
4,95.0,No,9.0,1.0,28.2,78
1,47.0,No,8.0,1.0,6.3,24
6,52.0,Yes,8.0,9.0,42.4,45
8,44.0,No,5.0,8.0,56.2,38
8,64.0,Yes,6.0,3.0,56.1,53
3,98.0,Yes,7.0,4.0,21.4,79
6,81.0,No,4.0,8.0,42.7,65
2,96.0,No,8.0,,14.4,72
8,64.0,No,6.0,1.0,55.3,56
7,50.0,No,9.0,,48.5,42
1,70.0,Yes,4.0,0.0,6.8,44
7,69.0,Yes,6.0,9.0,49.0,63
8,70.0,Yes,8.0,1.0,56.2,64
6,41.0,No,4.0,1.0,41.7,28
1,62.0,Yes,7.0,6.0,7.1,36
9,66.0,No,9.0,,62.7,65
8,61.0,No,6.0,1.0,55.8,51
5,67.0,No,6.0,6.0,34.4,51
4,75.0,Yes,4.0,1.0,27.6,60
8,81.0,Yes,6.0,1.0,55.5,74
8,53.0,No,8.0,2.0,55.6,46
6,78.0,Yes,8.0,6.0,42.4,67
9,76.0,No,6.0,2.0,62.6,72
4,75.0,No,6.0,5.0,29.1,55
6,64.0,No,7.0,9.0,42.2,54
8,47.0,Yes,6.0,9.0,56.1,45
4,50.0,Yes,7.0,3.0,27.7,31
5,70.0,No,5.0,3.0,35.3,52
3,74.0,Yes,4.0,1.0,20.8,56
6,57.0,Yes,4.0,9.0,42.0,46
7,55.0,Yes,8.0,1.0,50.0,50
6,65.0,No,4.0,0.0,42.0,52
4,88.0,No,5.0,6.0,28.5,70
1,83.0,Yes,4.0,2.0,6.7,53
4,70.0,Yes,7.0,0.0,28.0,53
2,54.0,Yes,8.0,6.0,14.7,31
1,52.0,Yes,9.0,6.0,6.7,28
3,97.0,Yes,6.0,1.0,21.7,75
5,68.0,Yes,7.0,,35.3,53
7,40.0,Yes,6.0,2.0,48.8,33
2,97.0,No,5.0,9.0,14.3,73
2,85.0,No,5.0,1.0,14.4,63
2,81.0,No,4.0,6.0,14.2,59
1,62.0,Yes,5.0,4.0,6.4,37
4,78.0,Yes,7.0,8.0,27.7,59
7,82.0,Yes,5.0,4.0,48.9,70
7,56.0,Yes,9.0,4.0,49.0,46
6,72.0,No,5.0,8.0,42.2,62
2,63.0,Yes,4.0,6.0,14.1,42
6,60.0,Yes,7.0,4.0,41.5,50
2,81.0,No,5.0,2.0,14.2,58
6,96.0,No,9.0,6.0,42.2,86
4,57.0,Yes,8.0,1.0,28.2,41
5,94.0,No,9.0,2.0,35.4,84
7,77.0,No,8.0,8.0,49.3,70
6,90.0,No,7.0,0.0,42.2,77
1,82.0,No,4.0,6.0,7.0,52
4,92.0,No,9.0,5.0,27.3,77
5,47.0,No,8.0,4.0,35.2,34
7,42.0,Yes,6.0,3.0,49.1,35
8,45.0,Yes,6.0,1.0,56.1,40
1,61.0,No,8.0,3.0,6.5,33
2,69.0,Yes,5.0,2.0,13.6,43
1,60.0,No,6.0,1.0,7.4,29
4,62.0,No,6.0,7.0,28.0,43
4,78.0,No,8.0,3.0,28.3,61
3,79.0,Yes,,5.0,21.0,60
6,91.0,Yes,8.0,9.0,42.0,83
2,99.0,Yes,5.0,2.0,14.4,75
4,40.0,Yes,6.0,6.0,27.8,20
4,44.0,Yes,7.0,6.0,28.0,27
7,90.0,Yes,5.0,7.0,48.8,82
9,44.0,Yes,5.0,6.0,62.8,41
9,64.0,Yes,9.0,5.0,62.9,63
6,,Yes,4.0,2.0,42.1,70
2,84.0,No,9.0,8.0,13.8,65
8,96.0,No,4.0,3.0,56.5,90
6,85.0,No,4.0,3.0,41.6,75
6,68.0,Yes,6.0,4.0,41.9,56
8,,Yes,5.0,5.0,55.8,62
6,91.0,Yes,9.0,7.0,42.6,81
9,98.0,Yes,8.0,9.0,63.1,93
6,40.0,Yes,4.0,4.0,42.4,23
3,84.0,Yes,5.0,4.0,20.4,65
4,63.0,No,7.0,0.0,28.1,43
9,68.0,No,,2.0,63.4,70
7,63.0,No,6.0,1.0,49.0,54
9,61.0,No,,8.0,63.4,59
9,67.0,Yes,7.0,4.0,62.8,65
7,94.0,No,9.0,1.0,49.6,84
2,,No,4.0,1.0,14.9,69
9,58.0,No,8.0,7.0,62.9,59
8,74.0,Yes,,9.0,55.8,65
8,47.0,Yes,6.0,8.0,56.6,42
5,88.0,Yes,7.0,5.0,35.6,72
1,57.0,No,8.0,3.0,6.8,30
7,47.0,Yes,4.0,7.0,48.8,39
7,72.0,Yes,5.0,8.0,48.9,63
8,90.0,Yes,7.0,5.0,55.5,88
8,45.0,No,,0.0,55.6,38
3,80.0,No,6.0,1.0,20.6,61
1,82.0,Yes,9.0,4.0,6.7,62
3,73.0,No,8.0,4.0,21.0,50
6,98.0,Yes,6.0,4.0,42.1,87
8,84.0,Yes,8.0,8.0,56.6,82
1,76.0,Yes,8.0,0.0,6.6,50
5,59.0,No,,5.0,35.4,43
4,72.0,Yes,9.0,5.0,27.9,55
8,98.0,Yes,7.0,0.0,56.0,97
9,94.0,Yes,4.0,8.0,63.3,93
9,76.0,Yes,7.0,1.0,62.6,73
6,55.0,Yes,6.0,6.0,42.2,45
8,71.0,No,6.0,3.0,56.1,64
5,53.0,Yes,,8.0,35.2,40
5,59.0,No,5.0,1.0,35.1,43
2,44.0,Yes,7.0,4.0,15.0,19
3,85.0,Yes,9.0,0.0,20.7,68
3,92.0,No,5.0,4.0,20.8,71
2,40.0,No,9.0,8.0,13.8,16
7,95.0,No,8.0,9.0,48.8,94
9,,Yes,4.0,3.0,62.7,74
8,95.0,No,7.0,6.0,56.5,90
1,72.0,Yes,6.0,2.0,7.6,46
2,89.0,No,9.0,6.0,13.8,68
6,44.0,No,8.0,0.0,41.7,29
1,78.0,No,9.0,,7.2,53
5,56.0,Yes,4.0,7.0,34.8,39
2,76.0,No,9.0,6.0,14.3,56
5,89.0,No,4.0,6.0,35.1,69
8,48.0,No,9.0,6.0,55.4,46
7,96.0,Yes,7.0,2.0,49.6,89
4,51.0,Yes,4.0,0.0,28.7,30
2,52.0,No,8.0,4.0,13.8,27
3,40.0,Yes,8.0,4.0,20.8,20
5,56.0,Yes,8.0,8.0,35.1,43
8,47.0,No,7.0,7.0,56.1,38
9,81.0,Yes,7.0,3.0,63.3,78
9,87.0,Yes,6.0,5.0,63.8,85
6,77.0,Yes,6.0,9.0,41.9,65
8,56.0,Yes,6.0,3.0,55.7,50
7,62.0,No,7.0,6.0,48.4,52
4,77.0,Yes,7.0,9.0,27.7,61
3,79.0,No,8.0,,21.0,60
5,51.0,Yes,5.0,7.0,35.7,38
7,64.0,No,4.0,3.0,48.8,46
5,56.0,No,5.0,8.0,35.1,41
1,67.0,Yes,4.0,6.0,7.0,39
7,47.0,No,5.0,0.0,49.5,38
4,54.0,Yes,6.0,8.0,29.0,-6
2,86.0,No,7.0,2.0,13.8,63
6,96.0,No,6.0,3.0,41.8,82
4,,No,7.0,,28.4,25
5,,Yes,4.0,2.0,35.3,73
7,60.0,No,7.0,8.0,49.7,52
4,43.0,No,9.0,2.0,28.2,25
3,96.0,Yes,7.0,1.0,20.9,72
8,70.0,Yes,7.0,5.0,56.2,68
8,45.0,Yes,4.0,0.0,56.4,37
3,46.0,No,5.0,8.0,21.3,27
8,76.0,Yes,8.0,6.0,56.2,70
4,83.0,No,5.0,3.0,28.4,64
4,42.0,No,5.0,4.0,28.5,22
5,,Yes,5.0,8.0,35.6,48
2,54.0,No,7.0,0.0,14.3,30
2,41.0,Yes,6.0,6.0,13.9,19
2,67.0,Yes,5.0,7.0,14.1,41
5,62.0,Yes,9.0,4.0,35.5,47
5,78.0,Yes,4.0,1.0,34.7,60
1,54.0,Yes,8.0,5.0,7.1,28
1,87.0,Yes,7.0,5.0,6.8,64
3,84.0,No,6.0,6.0,21.0,61
17,92.0,Yes,4.0,6.0,119.5,67
4,81.0,Yes,7.0,0.0,28.1,65
7,93.0,No,6.0,2.0,49.0,84
8,62.0,No,5.0,1.0,55.5,53
2,90.0,Yes,6.0,,14.3,68
22,43.0,Yes,9.0,1.0,154.3,38
2,86.0,Yes,8.0,,14.9,69
9,87.0,No,8.0,,62.9,89
7,89.0,No,5.0,5.0,49.1,78
5,66.0,No,,8.0,35.1,51
7,65.0,Yes,9.0,6.0,49.6,57
5,69.0,No,6.0,0.0,35.0,57
1,69.0,No,8.0,8.0,7.1,44
5,45.0,Yes,,0.0,35.2,28
3,42.0,Yes,6.0,8.0,21.1,21
4,41.0,Yes,8.0,7.0,27.8,23
5,76.0,Yes,6.0,5.0,35.1,62
1,49.0,No,6.0,8.0,7.4,24
3,82.0,Yes,5.0,1.0,20.6,60
9,76.0,No,7.0,2.0,63.1,71
5,70.0,No,7.0,4.0,34.7,53
4,43.0,Yes,6.0,9.0,28.5,25
5,86.0,Yes,6.0,3.0,34.4,74
4,44.0,Yes,9.0,9.0,27.8,28
2,46.0,No,9.0,2.0,14.2,24
8,68.0,Yes,5.0,1.0,56.6,58
3,96.0,No,5.0,5.0,21.0,74
1,96.0,No,,5.0,6.8,69
7,89.0,Yes,4.0,0.0,49.8,79
1,94.0,Yes,6.0,3.0,6.4,71
8,83.0,No,7.0,,55.1,79
5,85.0,No,8.0,9.0,35.2,68
8,56.0,Yes,5.0,7.0,55.8,51
1,76.0,No,5.0,8.0,6.6,50
4,83.0,Yes,6.0,3.0,28.3,66
5,74.0,Yes,7.0,1.0,35.1,59
7,67.0,Yes,9.0,6.0,48.8,61
1,86.0,No,5.0,4.0,6.5,57
5,96.0,No,6.0,2.0,35.3,81
6,89.0,No,7.0,7.0,42.3,79
2,98.0,No,7.0,9.0,14.0,77
7,84.0,No,7.0,0.0,49.7,76
6,99.0,Yes,5.0,6.0,41.6,85
3,99.0,Yes,6.0,8.0,20.4,83
3,63.0,No,7.0,9.0,20.7,46
7,41.0,Yes,6.0,8.0,49.0,34
3,64.0,Yes,6.0,0.0,21.1,43
7,68.0,Yes,7.0,5.0,48.9,60
6,68.0,Yes,7.0,2.0,42.1,58
3,60.0,Yes,8.0,2.0,20.5,38
7,65.0,Yes,7.0,0.0,49.6,53
2,76.0,Yes,4.0,,14.0,51
3,65.0,Yes,4.0,0.0,21.4,44
5,85.0,No,6.0,1.0,35.1,72
6,81.0,No,7.0,2.0,42.2,68
7,81.0,No,4.0,5.0,49.2,71
1,59.0,Yes,7.0,4.0,7.2,31
7,88.0,Yes,6.0,8.0,49.3,82
1,64.0,No,8.0,7.0,7.5,42
4,94.0,Yes,8.0,2.0,28.1,73
1,91.0,Yes,9.0,5.0,7.3,67
5,70.0,No,8.0,0.0,35.0,56
7,40.0,No,8.0,2.0,49.6,30
5,56.0,Yes,8.0,9.0,34.7,45
9,45.0,Yes,,4.0,63.7,43
7,47.0,Yes,5.0,7.0,49.0,38
3,91.0,Yes,9.0,8.0,20.4,72
8,91.0,No,4.0,5.0,56.1,84
2,81.0,No,9.0,2.0,13.7,61
2,66.0,No,6.0,9.0,14.3,43
8,69.0,Yes,4.0,8.0,55.7,63
3,90.0,Yes,6.0,,20.8,68
8,84.0,Yes,5.0,0.0,55.2,76
6,58.0,Yes,4.0,5.0,41.8,48
4,62.0,No,6.0,7.0,27.0,45
22,44.0,No,5.0,1.0,153.4,34
5,85.0,Yes,5.0,8.0,35.3,70
1,56.0,Yes,8.0,5.0,7.3,31
2,90.0,Yes,7.0,6.0,14.2,64
3,52.0,Yes,5.0,7.0,20.6,37
8,51.0,No,7.0,8.0,56.0,43
7,66.0,No,,8.0,49.0,61
1,46.0,No,8.0,1.0,6.5,18
8,78.0,Yes,6.0,1.0,56.6,74
5,80.0,No,6.0,6.0,35.4,67
3,67.0,Yes,9.0,0.0,20.9,50
2,80.0,Yes,4.0,3.0,14.0,59
9,70.0,No,8.0,8.0,63.1,69
5,97.0,Yes,9.0,9.0,34.2,86
2,70.0,No,6.0,,13.9,43
7,82.0,No,7.0,4.0,48.7,70
7,93.0,No,8.0,7.0,48.6,87
9,41.0,Yes,8.0,,62.9,38
6,73.0,Yes,8.0,1.0,42.7,61
5,92.0,No,5.0,9.0,35.3,78
2,55.0,Yes,6.0,3.0,13.8,29
3,63.0,No,6.0,1.0,21.2,42
7,90.0,Yes,7.0,2.0,49.6,85
6,82.0,Yes,9.0,8.0,42.4,72
6,64.0,No,9.0,9.0,42.0,52
2,78.0,Yes,8.0,8.0,13.7,60
4,56.0,No,9.0,3.0,28.3,40
9,46.0,No,4.0,5.0,63.2,40
7,72.0,No,,6.0,49.4,62
2,84.0,No,4.0,9.0,14.3,61
4,97.0,No,9.0,5.0,28.4,80
7,,No,5.0,8.0,48.8,78
4,98.0,No,4.0,3.0,28.5,79
9,69.0,Yes,6.0,8.0,63.1,67
4,64.0,Yes,8.0,9.0,28.8,50
2,96.0,Yes,9.0,8.0,13.7,75
2,97.0,No,8.0,1.0,14.7,74
4,90.0,Yes,9.0,6.0,28.1,72
9,54.0,No,5.0,3.0,62.7,53
8,63.0,Yes,,3.0,55.8,60
8,75.0,Yes,8.0,3.0,55.9,72
2,90.0,No,4.0,4.0,14.2,65
6,54.0,No,7.0,2.0,42.2,41
3,73.0,No,6.0,7.0,20.8,51
2,64.0,No,6.0,3.0,14.0,42
3,44.0,No,,5.0,21.9,23
7,79.0,Yes,,5.0,49.7,68
4,52.0,No,4.0,2.0,28.2,34
9,91.0,No,,,63.0,87
3,66.0,No,4.0,6.0,21.0,45
7,73.0,No,7.0,5.0,49.2,65
6,50.0,No,5.0,8.0,41.6,36
7,75.0,Yes,4.0,5.0,48.9,66
8,78.0,No,6.0,4.0,55.3,72
1,57.0,No,7.0,6.0,7.2,31
9,60.0,Yes,,1.0,63.3,55
4,45.0,Yes,4.0,8.0,27.8,28
2,65.0,Yes,8.0,1.0,14.6,43
4,92.0,Yes,9.0,5.0,27.5,77
4,99.0,No,6.0,4.0,27.4,80
7,57.0,No,6.0,9.0,49.1,52
5,91.0,Yes,6.0,3.0,35.4,78
2,69.0,No,9.0,0.0,14.7,45
7,63.0,No,7.0,5.0,48.8,56
9,58.0,Yes,4.0,3.0,63.4,53
6,,No,,7.0,42.0,45
8,53.0,No,8.0,4.0,55.9,49
5,56.0,Yes,9.0,8.0,35.4,43
7,79.0,No,9.0,0.0,49.3,73
18,61.0,No,6.0,1.0,125.4,42
9,83.0,No,9.0,8.0,63.6,85
1,62.0,No,9.0,,7.6,35
3,54.0,No,9.0,7.0,20.7,35
17,54.0,No,7.0,1.0,119.2,40
1,99.0,Yes,9.0,8.0,7.2,-12
7,64.0,Yes,7.0,,49.1,53
1,49.0,Yes,8.0,3.0,6.8,24
7,66.0,No,6.0,7.0,48.7,57
6,59.0,Yes,7.0,4.0,42.0,47
1,80.0,No,5.0,4.0,7.5,58
6,95.0,Yes,8.0,9.0,42.2,88
1,98.0,Yes,8.0,2.0,6.9,75
3,48.0,No,,5.0,21.3,30
4,96.0,No,8.0,,26.9,82
1,50.0,Yes,4.0,1.0,7.5,19
5,55.0,Yes,8.0,0.0,34.3,44
3,90.0,Yes,,1.0,20.9,68
8,57.0,No,5.0,2.0,55.6,50
8,69.0,No,8.0,2.0,55.5,65
4,57.0,Yes,9.0,4.0,28.5,43
4,79.0,No,5.0,6.0,27.8,63
7,64.0,No,4.0,5.0,49.1,50
2,66.0,Yes,,6.0,14.0,42
9,43.0,No,8.0,9.0,63.2,45
4,87.0,No,8.0,,28.0,74
6,89.0,Yes,5.0,2.0,41.5,80
1,61.0,No,8.0,6.0,7.4,38
9,46.0,Yes,7.0,,62.8,42
8,85.0,Yes,,1.0,55.4,77
4,92.0,No,8.0,5.0,27.8,76
4,,No,8.0,4.0,28.6,71
8,91.0,Yes,6.0,7.0,56.3,86
3,94.0,Yes,5.0,1.0,20.9,74
3,45.0,No,6.0,7.0,20.9,23
9,54.0,No,5.0,8.0,62.9,49
9,86.0,Yes,,4.0,63.8,83
9,44.0,No,4.0,0.0,63.2,41
2,68.0,Yes,8.0,9.0,14.2,45
5,75.0,No,7.0,0.0,35.4,63
8,87.0,No,8.0,2.0,56.1,82
2,42.0,No,7.0,8.0,13.9,21
9,81.0,Yes,6.0,2.0,62.9,77
9,95.0,No,6.0,0.0,63.0,90
1,68.0,Yes,4.0,4.0,7.0,42
1,74.0,No,,1.0,7.3,50
2,66.0,No,8.0,6.0,14.0,41
3,81.0,Yes,9.0,1.0,21.3,60
6,83.0,No,4.0,3.0,42.0,71
9,67.0,Yes,7.0,1.0,63.0,63
7,51.0,No,8.0,2.0,48.2,45
1,89.0,No,5.0,6.0,7.4,67
5,66.0,Yes,5.0,4.0,35.1,51
1,81.0,No,9.0,7.0,7.4,54
5,48.0,No,5.0,5.0,33.8,32
6,54.0,Yes,6.0,9.0,42.8,43
2,44.0,No,7.0,9.0,13.9,18
2,86.0,Yes,6.0,2.0,14.4,62
6,56.0,No,6.0,7.0,41.6,42
6,51.0,Yes,4.0,7.0,42.2,39
4,68.0,Yes,5.0,5.0,27.6,51
7,91.0,No,4.0,3.0,48.8,83
3,58.0,No,4.0,1.0,21.8,35
3,56.0,Yes,4.0,8.0,20.9,37
9,60.0,No,8.0,8.0,63.1,58
5,70.0,Yes,9.0,7.0,35.3,57
5,77.0,No,7.0,0.0,35.2,62
7,65.0,Yes,6.0,9.0,49.1,57
4,66.0,No,8.0,0.0,28.1,47
3,57.0,Yes,,7.0,22.0,38
9,,No,5.0,1.0,63.0,62
4,74.0,No,7.0,3.0,28.1,53
6,52.0,Yes,9.0,9.0,42.4,41
7,53.0,No,9.0,4.0,49.4,44
6,53.0,Yes,6.0,6.0,42.5,37
6,45.0,Yes,5.0,3.0,42.3,36
6,75.0,No,4.0,6.0,41.5,63
4,97.0,No,5.0,9.0,28.7,82
6,98.0,No,4.0,4.0,41.5,84
3,72.0,No,7.0,9.0,21.1,54
2,98.0,No,8.0,7.0,13.7,80
8,57.0,Yes,6.0,7.0,56.0,54
8,66.0,No,7.0,2.0,56.1,59
4,66.0,Yes,8.0,6.0,28.1,51
5,59.0,Yes,6.0,8.0,35.2,45
5,79.0,Yes,9.0,2.0,35.6,65
6,77.0,Yes,8.0,9.0,42.2,64
1,83.0,No,6.0,0.0,6.9,59
9,47.0,No,4.0,0.0,63.4,41
6,66.0,Yes,8.0,,42.5,55
1,42.0,No,9.0,2.0,6.5,12
3,88.0,Yes,9.0,9.0,21.2,70
5,80.0,No,8.0,9.0,35.3,69
2,71.0,Yes,5.0,4.0,13.9,47
4,72.0,Yes,8.0,9.0,28.6,56
9,,No,4.0,0.0,62.9,69
7,90.0,Yes,8.0,2.0,49.1,81
1,49.0,Yes,9.0,9.0,6.9,24
3,84.0,Yes,5.0,,21.0,63
8,73.0,No,,4.0,55.6,68
8,,No,4.0,3.0,55.4,70
5,66.0,Yes,5.0,5.0,35.6,49
4,56.0,Yes,5.0,1.0,27.7,42
5,55.0,Yes,6.0,8.0,34.6,40
6,84.0,Yes,4.0,5.0,41.1,72
3,48.0,Yes,6.0,6.0,20.7,28
9,58.0,Yes,7.0,2.0,62.5,54
3,71.0,No,,3.0,21.7,48
7,50.0,Yes,6.0,4.0,49.4,42
6,61.0,No,6.0,0.0,41.7,48
8,49.0,No,9.0,1.0,56.9,41
2,60.0,No,6.0,6.0,14.4,38
9,94.0,Yes,,5.0,62.9,93
7,40.0,No,6.0,2.0,48.0,33
5,84.0,No,5.0,3.0,35.9,66
9,55.0,Yes,5.0,7.0,62.4,50
7,71.0,Yes,5.0,8.0,48.3,62
4,87.0,Yes,6.0,3.0,28.4,73
6,73.0,Yes,6.0,2.0,43.0,61
1,53.0,Yes,4.0,2.0,7.6,29
5,48.0,Yes,8.0,6.0,35.2,33
9,89.0,Yes,9.0,4.0,63.2,88
6,66.0,No,6.0,9.0,42.3,56
6,62.0,Yes,5.0,8.0,42.3,47
3,93.0,Yes,7.0,1.0,21.1,73
6,44.0,No,8.0,3.0,42.0,32
1,81.0,No,6.0,4.0,7.0,54
5,92.0,No,4.0,8.0,34.7,78
2,48.0,Yes,9.0,1.0,13.9,23
4,89.0,No,6.0,3.0,27.3,71
1,71.0,Yes,4.0,1.0,7.0,41
6,91.0,No,6.0,2.0,41.6,77
4,99.0,No,9.0,,27.6,86
3,97.0,Yes,9.0,1.0,21.1,80
9,96.0,Yes,5.0,8.0,63.6,96
5,42.0,Yes,6.0,9.0,35.4,25
6,80.0,Yes,8.0,4.0,41.4,70
8,91.0,Yes,7.0,6.0,55.6,90
3,83.0,No,6.0,2.0,21.4,66
1,52.0,Yes,7.0,0.0,6.6,27
4,88.0,No,4.0,0.0,27.9,69
8,55.0,No,8.0,3.0,56.2,49
6,47.0,No,9.0,8.0,41.6,37
25,51.0,No,9.0,1.0,175.0,40
6,55.0,No,4.0,6.0,41.5,41
1,99.0,Yes,7.0,3.0,6.8,77
2,52.0,Yes,8.0,9.0,14.1,31
8,94.0,No,8.0,6.0,55.4,88
1,67.0,No,9.0,3.0,7.2,41
7,86.0,Yes,5.0,5.0,49.0,76
6,88.0,Yes,5.0,,42.2,75
5,95.0,Yes,9.0,0.0,35.1,81
6,53.0,No,9.0,9.0,42.5,46
